date,country,local,industry_sector,accident_level,potential_accident_level,gender,employee_type,critical_risk,description,year,month,day,weekday,weekofyear,season,severity_score,high_severity,date.1,time,factory,region,shift,workers,exp,training,temp,pressure,humidity,vibration,speed,age,service_days,gas,sparks,alarm,risk,accident,clean_description,root_causes,description_length,word_count,forecast_risk_probability,risk_category,recommendation
2016-01-01,Country_01,Local_01,Mining,I,IV,Male,Third Party,Pressed,"While removing the drill rod of the Jumbo 08 for maintenance, the supervisor proceeds to loosen the support of the intermediate centralizer to facilitate the removal, seeing this the mechanic supports one end on the drill of the equipment to pull with both hands the bar and accelerate the removal from this, at this moment the bar slides from its point of support and tightens the fingers of the mechanic between the drilling bar and the beam of the jumbo.",2016,1,1,Friday,53,Summer,1,0,2021-06-14,12:45:00,Factory_C,Industrial_Zone,Night,48.0,Junior,Yes,29.35,24.39,74.21,0.02,1605.78,12,41,9.93,0,Off,42.74,0,while removing the drill rod of the jumbo    for maintenance  the supervisor proceeds to loosen the support of the intermediate centralizer to facilitate the removal  seeing this the mechanic supports one end on the drill of the equipment to pull with both hands the bar and accelerate the removal from this  at this moment the bar slides from its point of support and tightens the fingers of the mechanic between the drilling bar and the beam of the jumbo,equipment_failure,456,79,0.8933333333333333,High Risk,Increase preventive maintenance frequency and install predictive sensor monitoring systems.
2016-01-02,Country_02,Local_02,Mining,I,IV,Male,Employee,Pressurized Systems,"During the activation of a sodium sulphide pump, the piping was uncoupled and the sulfide solution was designed in the area to reach the maid. Immediately she made use of the emergency shower and was directed to the ambulatory doctor and later to the hospital. Note: of sulphide solution = 48 grams / liter.",2016,1,2,Saturday,53,Summer,1,0,2021-01-09,23:00:00,Factory_C,Industrial_Zone,Day,15.0,Junior,Yes,25.61,23.24,39.93,3.25,3458.25,9,271,1.42,4,Off,55.09,0,during the activation of a sodium sulphide pump  the piping was uncoupled and the sulfide solution was designed in the area to reach the maid  immediately she made use of the emergency shower and was directed to the ambulatory doctor and later to the hospital  note  of sulphide solution      grams   liter,equipment_failure,306,51,0.75,High Risk,Increase preventive maintenance frequency and install predictive sensor monitoring systems.
2016-01-06,Country_01,Local_03,Mining,I,III,Male,Third Party (Remote),Manual Tools,"In the sub-station MILPO located at level +170 when the collaborator was doing the excavation work with a pick (hand tool), hitting a rock with the flat part of the beak, it bounces off hitting the steel tip of the safety shoe and then the metatarsal area of ​​the left foot of the collaborator causing the injury.",2016,1,6,Wednesday,1,Summer,1,0,2023-03-12,05:00:00,Factory_A,Urban,Day,30.0,Junior,No,32.44,25.25,56.57,4.67,2421.23,3,147,2.59,3,Off,53.93,0,in the sub station milpo located at level      when the collaborator was doing the excavation work with a pick  hand tool   hitting a rock with the flat part of the beak  it bounces off hitting the steel tip of the safety shoe and then the metatarsal area of   the left foot of the collaborator causing the injury,other,313,57,0.94,High Risk,Perform comprehensive industrial safety inspection.
2016-01-08,Country_01,Local_04,Mining,I,I,Male,Third Party,Others,"Being 9:45 am. approximately in the Nv. 1880 CX-695 OB7, the personnel begins the task of unlocking the Soquet bolts of the BHB machine, when they were in the penultimate bolt they identified that the hexagonal head was worn, proceeding Mr. Cristóbal - Auxiliary assistant to climb to the platform to exert pressure with your hand on the ""DADO"" key, to prevent it from coming out of the bolt; in those moments two collaborators rotate with the lever in anti-clockwise direction, leaving the key of the bolt, hitting the palm of the left hand, causing the injury.",2016,1,8,Friday,1,Summer,1,0,2022-07-26,17:30:00,Factory_A,Industrial_Zone,Night,30.0,Senior,No,24.04,21.51,62.26,4.52,1309.75,12,162,9.38,1,Off,50.47,0,being      am  approximately in the nv       cx     ob   the personnel begins the task of unlocking the soquet bolts of the bhb machine  when they were in the penultimate bolt they identified that the hexagonal head was worn  proceeding mr  crist bal   auxiliary assistant to climb to the platform to exert pressure with your hand on the  dado  key  to prevent it from coming out of the bolt  in those moments two collaborators rotate with the lever in anti clockwise direction  leaving the key of the bolt  hitting the palm of the left hand  causing the injury,equipment_failure,561,96,0.8733333333333333,High Risk,Increase preventive maintenance frequency and install predictive sensor monitoring systems.
2016-01-10,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others,"Approximately at 11:45 a.m. in circumstances that the mechanics Anthony (group leader), Eduardo and Eric Fernández-injured-the three of the Company IMPROMEC, performed the removal of the pulley of the motor of the pump 3015 in the ZAF of Marcy. 27 cm / Length: 33 cm / Weight: 70 kg), as it was locked proceed to heating the pulley to loosen it, it comes out and falls from a distance of 1.06 meters high and hits the instep of the right foot of the worker, causing the injury described.",2016,1,10,Sunday,1,Summer,4,1,2021-03-07,06:15:00,Factory_C,Industrial_Zone,Day,9.0,Senior,No,34.08,25.86,69.79,1.01,2711.68,17,53,3.9,2,On,55.78,0,approximately at       a m  in circumstances that the mechanics anthony  group leader   eduardo and eric fern ndez injured the three of the company impromec  performed the removal of the pulley of the motor of the pump      in the zaf of marcy     cm   length     cm   weight     kg   as it was locked proceed to heating the pulley to loosen it  it comes out and falls from a distance of      meters high and hits the instep of the right foot of the worker  causing the injury described,"equipment_failure, human_error, fall_slip",486,84,0.8133333333333334,High Risk,Increase preventive maintenance frequency and install predictive sensor monitoring systems.
2016-01-12,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressurized Systems,"During the unloading operation of the ustulado Bag there was a need to unclog the discharge mouth of the silo truck. In performing this procedure, there was a maneuver of unhooking the hose without the total depressurisation of the mouth, projecting ustulado powder in the collaborator caused irritation in the eyes.",2016,1,12,Tuesday,2,Summer,1,0,2023-05-09,04:30:00,Factory_D,Rural,Night,19.0,Senior,Yes,31.68,26.04,50.48,0.92,3792.2,18,118,9.93,3,On,57.28,0,during the unloading operation of the ustulado bag there was a need to unclog the discharge mouth of the silo truck  in performing this procedure  there was a maneuver of unhooking the hose without the total depressurisation of the mouth  projecting ustulado powder in the collaborator caused irritation in the eyes,other,315,51,0.9566666666666667,High Risk,Perform comprehensive industrial safety inspection.
2016-01-16,Country_02,Local_05,Metals,I,III,Male,Employee,Fall prevention (same level),"The collaborator reports that he was on street 09 holding in his left hand the volumetric balloon, when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand.",2016,1,16,Saturday,2,Summer,1,0,2022-01-23,10:30:00,Factory_A,Urban,Night,26.0,Senior,Yes,23.59,20.91,54.7,1.55,2552.73,3,41,8.13,0,On,28.81,0,the collaborator reports that he was on street    holding in his left hand the volumetric balloon  when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand,fall_slip,233,41,0.9366666666666666,High Risk,"Improve floor traction, housekeeping, and PPE compliance."
2016-01-17,Country_01,Local_04,Mining,I,III,Male,Third Party,Pressed,"At approximately 04:50 p.m., when the mechanic technician José of the Tecnomin verified the transmission belts of the HM-100 pump at the Acid plant, he proceeded to turn the pulley manually; unexpectedly at that instant the electrician supervisor Miguel of the EKA Mining grabs the transmission belts to verify their tension, at which point the finger traps.",2016,1,17,Sunday,2,Summer,1,0,2023-07-01,10:30:00,Factory_C,Industrial_Zone,Night,49.0,Senior,Yes,26.1,20.88,58.91,4.23,3917.43,2,151,4.76,4,On,42.97,0,at approximately       p m   when the mechanic technician jos  of the tecnomin verified the transmission belts of the hm     pump at the acid plant  he proceeded to turn the pulley manually  unexpectedly at that instant the electrician supervisor miguel of the eka mining grabs the transmission belts to verify their tension  at which point the finger traps,"equipment_failure, human_error",357,57,0.93,High Risk,Increase preventive maintenance frequency and install predictive sensor monitoring systems.
2016-01-19,Country_02,Local_02,Mining,I,IV,Male,Third Party (Remote),Others,"Employee was sitting in the resting area at level 326 (raise bore), when he suffered sudden illness, falling and suffering excoriation on the face.",2016,1,19,Tuesday,3,Summer,1,0,2022-04-05,16:45:00,Factory_A,Urban,Night,28.0,Senior,Yes,29.29,25.08,64.67,3.92,1592.98,1,302,5.53,3,On,58.68,0,employee was sitting in the resting area at level      raise bore   when he suffered sudden illness  falling and suffering excoriation on the face,fall_slip,146,23,0.9166666666666666,High Risk,"Improve floor traction, housekeeping, and PPE compliance."
2016-01-26,Country_01,Local_06,Metals,I,II,Male,Third Party,Chemical substances,"At the moment the forklift operator went to manipulate big bag of bioxide in section 70 and just in front of the ladder that leads to the area of ​​manual displacement, he splashed spent at the height of his forehead from a fissure in pipe G -069, subsequently spilling to his left eye. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",2016,1,26,Tuesday,4,Summer,1,0,2022-09-20,17:45:00,Factory_D,Urban,Day,12.0,Junior,Yes,10.0,13.22,37.8,2.79,1989.35,6,110,0.49,4,On,9.45,0,at the moment the forklift operator went to manipulate big bag of bioxide in section    and just in front of the ladder that leads to the area of   manual displacement  he splashed spent at the height of his forehead from a fissure in pipe g       subsequently spilling to his left eye  the collaborator went to the nearby eyewash for cleaning and immediately to the medical center,human_error,381,66,0.9433333333333334,High Risk,Conduct advanced worker safety training and strengthen operational supervision.
